"生产","入库","移动","VIN","车型","价格","配置","颜色","位置","库龄","点款","虚报","促销","标签","订单","加装"
"-","-","-","LSGZG53LXKS113150","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","墨玉黑","在途- VDC->VSC(3天)",0,"","","","","",""
"-","-","-","LSGZG53L4KS108364","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","闪电白","在途- VDC(101天)",0,"","","","","",""
"-","-","-","目前可CALL","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","墨玉黑","- ",0,"","","","","",""
"-","-","-","目前可CALL","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","墨玉黑","- ",0,"","","","","",""
"-","-","-","目前可CALL","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","墨玉黑","- ",0,"","","","","",""
"-","-","-","目前可CALL","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","墨玉黑","- ",0,"","","","","",""
"-","-","-","目前可CALL","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","闪电白","- ",0,"","","","","",""
"-","-","-","目前可CALL","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","闪电白","- ",0,"","","","","",""
"-","-","-","目前可CALL","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","闪电白","- ",0,"","","","","",""
"-","-","-","目前可CALL","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","闪电白","- ",0,"","","","","",""
"-","-","-","目前可CALL","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","黯影灰","- ",0,"","","","","",""
"-","-","-","目前可CALL","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","黯影灰","- ",0,"","","","","",""
"-","-","-","目前可CALL","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","黯影灰","- ",0,"","","","","",""
"-","-","-","目前可CALL","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","黯影灰","- ",0,"","","","","",""
"2019-08-23","2019-09-23","2020-01-17","LSGZG53L1KS088963","迈锐宝XL",204900,"全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19","风尚红","店内- 展厅",170,"2019/11/8 10:10","","","","",""
"2019-09-27","2019-12-31","2019-12-31","LSGKB5418LV036419","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",135,"","","","","",""
"2019-09-27","2019-12-31","2019-12-31","LSGKB5412LV037436","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",135,"","","","","",""
"2019-09-27","2020-01-01","2020-01-01","LSGKB5414LV035400","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",135,"","","","","",""
"2019-09-27","2020-01-01","2020-01-01","LSGKB5415LV036782","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",135,"","","","","",""
"2019-09-27","2019-12-31","2019-12-31","LSGKB541XLV036227","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",135,"","","","","",""
"2019-09-27","2020-01-01","2020-01-01","LSGKB5410LV037077","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",135,"","","","","",""
"2019-09-27","2019-12-31","2019-12-31","LSGKB5419LV037143","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",135,"","","","","",""
"2019-09-27","2019-12-31","2019-12-31","LSGKB5412LV036903","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",135,"","","","","",""
"2019-09-28","2020-01-01","2020-01-01","LSGKB5412LV037517","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",134,"","","","","",""
"2019-09-28","2019-12-31","2019-12-31","LSGKB5415LV037480","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",134,"","","","","",""
"2019-09-28","2019-12-31","2019-12-31","LSGKB541XLV037491","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",134,"","","","","",""
"2019-09-28","2019-12-26","2019-12-26","LSGKB5410LV037693","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",134,"","","","","",""
"2019-09-29","2019-12-26","2019-12-26","LSGKB5416LV038069","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-26","2019-12-26","LSGKB5417LV038050","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-27","2019-12-27","LSGKB5412LV038151","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-26","2019-12-26","LSGKB5418LV037635","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-26","2019-12-26","LSGKB5414LV038278","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-25","2019-12-25","LSGKB5418LV038073","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-25","2019-12-25","LSGKB5410LV037970","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-31","2019-12-31","LSGKB541XLV037832","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-31","2019-12-31","LSGKB541XLV037748","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-31","2019-12-31","LSGKB5415LV038192","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-31","2019-12-31","LSGKB5413LV037915","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-31","2019-12-31","LSGKB5413LV037574","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2020-01-01","2020-01-01","LSGKB5415LV037527","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-28","2019-12-28","LSGKB5417LV038131","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-28","2019-12-28","LSGKB5417LV037819","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-31","2019-12-31","LSGKB5417LV038002","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-28","2019-12-28","LSGKB5419LV037661","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-28","2019-12-28","LSGKB5419LV037983","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-28","2019-12-28","LSGKB5411LV038223","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-28","2019-12-28","LSGKB5414LV037812","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-30","2019-12-28","2019-12-28","LSGKB5410LV038536","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",132,"","","","","",""
"2019-09-30","2019-12-28","2019-12-28","LSGKB5415LV038354","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",132,"","","","","",""
"2019-09-30","2019-12-28","2019-12-28","LSGKB5410LV038603","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",132,"","","","","",""
"2019-09-30","2019-12-28","2019-12-28","LSGKB5412LV038389","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",132,"","","","","",""
"2019-09-30","2019-12-28","2019-12-28","LSGKB5413LV038417","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",132,"","","","","",""
