序号,SO时间,金额(元),车型,车架号(VIN#),开票时间,发票号码,操作,状态
1,,-96504,科鲁泽 LT,,,,Call车扣款,失效
2,,-96504,科鲁泽 LT,,,,Call车扣款,失效
3,2020/1/31,-136904,沃兰多 LT,LSGKH8410KY069637,2020/1/31,3118507537,Call车扣款,已用
4,2020/1/31,-136904,沃兰多 LT,LSGKH8415KY070296,2020/1/31,3118507536,Call车扣款,已用
5,2020/1/31,-96504,科鲁泽 LT,LSGKB54A6LV092763,2020/1/31,3118504289,Call车扣款,已用
6,2020/1/31,-96504,科鲁泽 LT,LSGKB54A9LV094653,2020/1/31,3118504290,Call车扣款,已用
7,2020/1/31,-96504,科鲁泽 LT,LSGKB54A2LV092842,2020/1/31,3118504288,Call车扣款,已用
8,2020/1/31,-96504,科鲁泽 LT,LSGKB54A7LV091699,2020/1/31,3118504287,Call车扣款,已用
9,2020/1/31,-136904,沃兰多 LT,LSGKH8418KY070096,2020/1/31,3118504286,Call车扣款,已用
10,2020/1/31,-136904,沃兰多 LT,LSGKH8418KY070597,2020/1/31,3118504285,Call车扣款,已用
11,2020/1/31,-77304,新科沃兹 LT,LSGEN54A7LD143309,2020/1/31,3118504283,Call车扣款,已用
12,2020/1/31,-77304,新科沃兹 LT,LSGEN54A8LD142329,2020/1/31,3118504282,Call车扣款,已用
13,2020/1/31,-127304,沃兰多 LS,LSGKH841XKY067412,2020/1/31,3118504284,Call车扣款,已用
14,2020/1/31,-181904,探界者 LT,LSGXC8353KV439246,2020/1/31,3118504293,Call车扣款,已用
15,2020/1/31,-181904,探界者 LT,LSGXC8356KV439337,2020/1/31,3118504292,Call车扣款,已用
16,2020/1/31,-181904,探界者 LT,LSGXC8355KV439281,2020/1/31,3118504291,Call车扣款,已用
17,2020/1/31,-221064,探界者 LTZ,LSGXC83L9KV433773,2020/1/31,3118504294,Call车扣款,已用
18,2020/1/31,-181904,探界者 LT,LSGXC8356KV437538,2020/1/31,3118493619,Call车扣款,已用
19,2020/1/31,-84024,新科沃兹 LT,LSGEN54A9LD129878,2020/1/31,3118493611,Call车扣款,已用
