序号,SO时间,金额(元),车型,车架号(VIN#),开票时间,发票号码,操作,状态
20,2020/1/31,-181904,探界者 LT,LSGXC8358KV437525,2020/1/31,3118493618,Call车扣款,已用
21,2020/1/31,-96504,科鲁泽 LT,LSGKB54A9LV090036,2020/1/31,3118493616,Call车扣款,已用
22,2020/1/31,-96504,科鲁泽 LT,LSGKB54A9LV089808,2020/1/31,3118493615,Call车扣款,已用
23,2020/1/31,-136904,沃兰多 LT,LSGKH8414KY070404,2020/1/31,3118493614,Call车扣款,已用
24,2020/1/31,-200104,全新迈锐宝XL LTZ,LSGZG53LXKS113150,2020/1/31,3118493621,Call车扣款,已用
25,2020/1/31,-139904,创界 LS,LSGTN8490LY018854,2020/1/31,3118493617,Call车扣款,已用
26,2020/1/31,-77304,新科沃兹 LT,LSGEN54A1LD145539,2020/1/31,3118493612,Call车扣款,已用
27,2020/1/31,-158904,全新迈锐宝XL LT,LSGZG5398KS122255,2020/1/31,3118493620,Call车扣款,已用
28,2020/1/31,-136904,沃兰多 LT,LSGKH8412KY070451,2020/1/31,3118493613,Call车扣款,已用
29,2020/1/30,-101304,科鲁泽 LT,LSGKB541XLV086318,2020/1/30,3118483697,Call车扣款,已用
30,2020/1/30,-101304,科鲁泽 LT,LSGKB5413LV086323,2020/1/30,3118483699,Call车扣款,已用
31,2020/1/30,-101304,科鲁泽 LT,LSGKB5411LV086305,2020/1/30,3118483698,Call车扣款,已用
32,2020/1/30,-101304,科鲁泽 LT,LSGKB5414LV086301,2020/1/30,3118483700,Call车扣款,已用
33,2020/1/30,-101304,科鲁泽 LT,LSGKB5418LV086298,2020/1/30,3118483701,Call车扣款,已用
34,2020/1/30,-101304,科鲁泽 LT,LSGKB5414LV086282,2020/1/30,3118483702,Call车扣款,已用
35,2020/1/30,-101304,科鲁泽 LT,LSGKB5411LV086286,2020/1/30,3118483705,Call车扣款,已用
36,2020/1/30,-47304,新科沃兹 LT,LSGEN54A2LD145811,2020/1/30,3118483696,Call车扣款,已用
37,2020/1/30,-47304,新科沃兹 LT,LSGEN54A0LD145922,2020/1/30,3118483695,Call车扣款,已用
38,2020/1/30,-47304,新科沃兹 LT,LSGEN54A5LD145656,2020/1/30,3118483694,Call车扣款,已用
39,2020/1/30,-101304,科鲁泽 LT,LSGKB541XLV086285,2020/1/30,3118483703,Call车扣款,已用
40,2020/1/30,-101304,科鲁泽 LT,LSGKB5418LV086267,2020/1/30,3118483704,Call车扣款,已用
41,2020/1/30,-54024,新科沃兹 LT,LSGEN54A6LD137940,2020/1/30,3118483690,Call车扣款,已用
42,2020/1/30,-54024,新科沃兹 LT,LSGEN54A7LD139308,2020/1/30,3118483689,Call车扣款,已用
43,2020/1/30,-54024,新科沃兹 LT,LSGEN54A4LD139542,2020/1/30,3118483688,Call车扣款,已用
44,2020/1/30,-84024,新科沃兹 LT,LSGEN54A2LD135022,2020/1/30,3118483691,Call车扣款,已用
45,2020/1/30,-62193,新科沃兹 LT,LSGEN54A3LD135210,2020/1/30,3118483693,Call车扣款,已用
46,2020/1/30,-54024,新科沃兹 LT,LSGEN54A1LD134301,2020/1/30,3118483692,Call车扣款,已用
47,2020/1/29,-68364,探界者 LS,LSGXC8355KV439958,2020/1/29,3118482904,Call车扣款,已用
48,2020/1/29,-68364,探界者 LS,LSGXC8352KV439951,2020/1/29,3118482905,Call车扣款,已用
49,2020/1/29,-71964,探界者 LT,LSGXC8351KV437379,2020/1/29,3118482911,Call车扣款,已用
50,2020/1/29,-68364,探界者 LS,LSGXC8350KV439835,2020/1/29,3118482906,Call车扣款,已用
51,2020/1/29,-68364,探界者 LS,LSGXC8350KV439995,2020/1/29,3118482902,Call车扣款,已用
52,2020/1/29,-68364,探界者 LS,LSGXC8350KV439950,2020/1/29,3118482903,Call车扣款,已用
53,2020/1/29,-81324,探界者 LT,LSGXC83L5KV436265,2020/1/29,3118482907,Call车扣款,已用
54,2020/1/29,-41364,科鲁泽 LT,LSGKB5418LV087726,2020/1/29,3118482895,Call车扣款,已用
55,2020/1/29,-71964,探界者 LT,LSGXC8358KV437654,2020/1/29,3118482910,Call车扣款,已用
56,2020/1/29,-71964,探界者 LT,LSGXC8357KV437340,2020/1/29,3118482909,Call车扣款,已用
57,2020/1/29,-41364,科鲁泽 LT,LSGKB5415LV087800,2020/1/29,3118482899,Call车扣款,已用
58,2020/1/29,-41364,科鲁泽 LT,LSGKB5416LV087790,2020/1/29,3118482897,Call车扣款,已用
59,2020/1/29,-41364,科鲁泽 LT,LSGKB5412LV087348,2020/1/29,3118482901,Call车扣款,已用
60,2020/1/29,-41364,科鲁泽 LT,LSGKB5416LV087689,2020/1/29,3118482900,Call车扣款,已用
61,2020/1/29,-81324,探界者 LT,LSGXC83L9KV440223,2020/1/29,3118482908,Call车扣款,已用
62,2020/1/29,-71964,探界者 LT,LSGXC8355KV438941,2020/1/29,3118482913,Call车扣款,已用
63,2020/1/29,-71964,探界者 LT,LSGXC8351KV438905,2020/1/29,3118482912,Call车扣款,已用
64,2020/1/29,-41364,科鲁泽 LT,LSGKB5415LV087795,2020/1/29,3118482898,Call车扣款,已用
65,2020/1/29,-41364,科鲁泽 LT,LSGKB5411LV087812,2020/1/29,3118482894,Call车扣款,已用
66,2020/1/29,-41364,科鲁泽 LT,LSGKB5419LV087735,2020/1/29,3118482896,Call车扣款,已用
67,2020/1/23,-41364,科鲁泽 LT,LSGKB5410LV092645,2020/1/23,3118475302,Call车扣款,已用
68,2020/1/23,-41364,科鲁泽 LT,LSGKB5412LV092467,2020/1/23,3118475301,Call车扣款,已用
69,2020/1/23,-41364,科鲁泽 LT,LSGKB5411LV092640,2020/1/23,3118475300,Call车扣款,已用
70,2020/1/23,-41364,科鲁泽 LT,LSGKB5419LV092286,2020/1/23,3118475299,Call车扣款,已用
71,2020/1/23,-41364,科鲁泽 LT,LSGKB5416LV086431,2020/1/23,3118475294,Call车扣款,已用
72,2020/1/23,-41364,科鲁泽 LT,LSGKB5414LV086069,2020/1/23,3118475293,Call车扣款,已用
73,2020/1/23,-41364,科鲁泽 LT,LSGKB5416LV086137,2020/1/23,3118475295,Call车扣款,已用
74,2020/1/23,-41364,科鲁泽 LT,LSGKB5412LV086099,2020/1/23,3118475296,Call车扣款,已用
75,2020/1/23,-41364,科鲁泽 LT,LSGKB541XLV084763,2020/1/23,3118475297,Call车扣款,已用
76,2020/1/23,-41364,科鲁泽 LT,LSGKB5418LV086317,2020/1/23,3118475298,Call车扣款,已用
77,2020/1/23,-81324,探界者 LT,LSGXC83L0KV439882,2020/1/23,3118475305,Call车扣款,已用
78,2020/1/23,-81324,探界者 LT,LSGXC83LXKV435872,2020/1/23,3118475304,Call车扣款,已用
79,2020/1/23,-68364,探界者 LS,LSGXC8357KV440643,2020/1/23,3118475303,Call车扣款,已用
80,2020/1/23,-35964,新科沃兹 LTZ,LSGEN54A9LD131288,2020/1/23,3118475292,Call车扣款,已用
81,2020/1/23,-35964,新科沃兹 LTZ,LSGEN54A3LD131450,2020/1/23,3118475290,Call车扣款,已用
82,2020/1/23,-35964,新科沃兹 LTZ,LSGEN54A1LD131415,2020/1/23,3118475291,Call车扣款,已用
83,2020/1/23,-79164,全新迈锐宝XL LTZ,LSGZG53L4KS108364,2020/1/23,3118475306,Call车扣款,已用
84,2020/1/22,-71964,探界者 LT,LSGXC835XKV436683,2020/1/22,3118473315,Call车扣款,已用
85,2020/1/22,-68364,探界者 LS,LSGXC8354KV439076,2020/1/22,3118473313,Call车扣款,已用
86,2020/1/22,-68364,探界者 LS,LSGXC8350KV439026,2020/1/22,3118473314,Call车扣款,已用
87,2020/1/22,-53964,沃兰多 LT,LSGKH8419KY070012,2020/1/22,3118473312,Call车扣款,已用
88,2020/1/22,-50364,沃兰多 LS,LSGKH8416KY066791,2020/1/22,3118473311,Call车扣款,已用
89,2020/1/20,-43164,科鲁泽 LTZ,LSGKB5412LV085728,2020/1/20,3118456771,Call车扣款,已用
90,2020/1/20,-43164,科鲁泽 LTZ,LSGKB5418LV077830,2020/1/20,3118456770,Call车扣款,已用
91,2020/1/20,-43164,科鲁泽 LTZ,LSGKB5415LV077249,2020/1/20,3118456769,Call车扣款,已用
92,2020/1/20,-43164,科鲁泽 LTZ,LSGKB5417LV081089,2020/1/20,3118456768,Call车扣款,已用
93,2020/1/20,-43164,科鲁泽 LTZ,LSGKB5410LV080656,2020/1/20,3118456767,Call车扣款,已用
94,2020/1/20,-43164,科鲁泽 LTZ,LSGKB5410LV078096,2020/1/20,3118456766,Call车扣款,已用
95,2020/1/20,-71964,探界者 LT,LSGXC8352KV434412,2020/1/20,3118456775,Call车扣款,已用
96,2020/1/20,-71964,探界者 LT,LSGXC8354KV434251,2020/1/20,3118456774,Call车扣款,已用
97,2020/1/20,-68364,探界者 LS,LSGXC835XKV436960,2020/1/20,3118456772,Call车扣款,已用
98,2020/1/20,-68364,探界者 LS,LSGXC8354KV436954,2020/1/20,3118456773,Call车扣款,已用
99,2020/1/20,-53964,沃兰多 LT,LSGKH8411KY069453,2020/1/20,3118456765,Call车扣款,已用
100,2020/1/20,-53964,沃兰多 LT,LSGKH8412KY069283,2020/1/20,3118456764,Call车扣款,已用
101,2020/1/20,-50364,沃兰多 LS,LSGKH8413KY066568,2020/1/20,3118456762,Call车扣款,已用
102,2020/1/20,-50364,沃兰多 LS,LSGKH8410KY066172,2020/1/20,3118456763,Call车扣款,已用
