vin,bonus,reserve,calldt,kpdt,fpcode,
LSGKB52H3KV259689,-54540,-32724,2019/2/1 0:00,2019/2/1 0:00,3117089561,
LSGKB52H7KV259646,-54540,-32724,2019/2/1 0:00,2019/2/1 0:00,3117089560,
LSGKB52HXKV259575,-54540,-32724,2019/2/1 0:00,2019/2/1 0:00,3117089559,
LSGKB52H0KV259729,-54540,-32724,2019/2/1 0:00,2019/2/1 0:00,3117089558,
LSGKB52H6KV259458,-59940,-35964,2019/2/2 0:00,2019/2/2 0:00,3117091931,
LSGKB52H6KV259847,-59940,-35964,2019/2/2 0:00,2019/2/2 0:00,3117091930,
LSGKB52H8KV259798,-59940,-35964,2019/2/2 0:00,2019/2/2 0:00,3117091928,
LSGKB52H2KV260400,-59940,-35964,2019/2/2 0:00,2019/2/2 0:00,3117091927,
LSGKB52H9KV260393,-59940,-35964,2019/2/2 0:00,2019/2/2 0:00,3117091929,
LSGXC8354KV233675,-113940,-68364,2019/2/11 0:00,2019/2/11 0:00,3117096093,
