vin,bonus,reserve,calldt,kpdt,fpcode,
LSGKB52H2KV197802,0,-87264,2018/12/7 0:00,2018/12/7 0:00,3116771748,
LSGKB52H4KV197784,0,-87264,2018/12/7 0:00,2018/12/7 0:00,3116771750,
LSGKB52H7KV197603,0,-87264,2018/12/7 0:00,2018/12/7 0:00,3116771749,
LSGKB52H8KV197836,0,-87264,2018/12/7 0:00,2018/12/7 0:00,3116771752,
LSGKB52H8KV197805,0,-87264,2018/12/7 0:00,2018/12/7 0:00,3116771756,
LSGKB52H3KV197730,0,-87264,2018/12/7 0:00,2018/12/7 0:00,3116771754,
LSGKB52H8KV197335,0,-87264,2018/12/7 0:00,2018/12/7 0:00,3116771755,
LSGKB52H6KV197561,0,-87264,2018/12/7 0:00,2018/12/7 0:00,3116771751,
LSGKB52H3KV197582,0,-87264,2018/12/7 0:00,2018/12/7 0:00,3116771753,
LSGKB52H9KV197781,0,-87264,2018/12/7 0:00,2018/12/7 0:00,3116771759,
LSGKB52H7KV197780,0,-87264,2018/12/7 0:00,2018/12/7 0:00,3116771760,
LSGKB52H7KV197570,0,-87264,2018/12/7 0:00,2018/12/7 0:00,3116771758,
LSGKB52H7KV197620,0,-87264,2018/12/7 0:00,2018/12/7 0:00,3116771757,
LSGKB52H8KV197819,0,-87264,2018/12/7 0:00,2018/12/7 0:00,3116771761,
LSGKB52H8KV197741,0,-87264,2018/12/7 0:00,2018/12/7 0:00,3116771762,
LSGKB52H2KV197539,0,-87264,2018/12/7 0:00,2018/12/7 0:00,3116771763,
LSGGJ5450JS246703,-101940,-61164,2018/12/12 0:00,2018/12/12 0:00,3116794525,
LSGKB52H2KV204022,-54000,-33264,2018/12/13 0:00,2018/12/13 0:00,3116798427,
LSGKB52H1KV204111,-54000,-33264,2018/12/13 0:00,2018/12/13 0:00,3116798425,
LSGKB52HXKV203829,-54000,-33264,2018/12/13 0:00,2018/12/13 0:00,3116798426,
LSGKB52H7KV203660,-40250,-47014,2018/12/13 0:00,2018/12/13 0:00,3116798424,
LSGKB52H7KV202041,0,-87264,2018/12/13 0:00,2018/12/13 0:00,3116798423,
LSGKB52H5KV204158,0,-87264,2018/12/13 0:00,2018/12/13 0:00,3116798422,
LSGKB52H3KV203820,0,-87264,2018/12/13 0:00,2018/12/13 0:00,3116798421,
LSGKB52H3KV207091,-54000,-33264,2018/12/15 0:00,2018/12/15 0:00,3116810932,
LSGKB52H1KV206439,-54000,-33264,2018/12/15 0:00,2018/12/15 0:00,3116810931,
LSGKB52H1KV206831,-54000,-33264,2018/12/15 0:00,2018/12/15 0:00,3116810934,
LSGKB52H3KV207107,-54540,-32724,2018/12/15 0:00,2018/12/15 0:00,3116810936,
LSGKB52H1KV207025,-54000,-33264,2018/12/15 0:00,2018/12/15 0:00,3116810935,
LSGKB52H1KV206909,-54000,-33264,2018/12/15 0:00,2018/12/15 0:00,3116810933,
LSGKB52H5KV205570,-59000,-36904,2018/12/14 0:00,2018/12/14 0:00,3116804649,
LSGKB52H8KV205613,-59000,-36904,2018/12/14 0:00,2018/12/14 0:00,3116804653,
LSGKB52H7KV205585,-24400,-71504,2018/12/14 0:00,2018/12/14 0:00,3116804651,
LSGKB52H1KV205601,-59000,-36904,2018/12/14 0:00,2018/12/14 0:00,3116804652,
LSGKB52H7KV205599,0,-95904,2018/12/14 0:00,2018/12/14 0:00,3116804650,
LSGKB52H9KV205619,0,-95904,2018/12/14 0:00,2018/12/14 0:00,3116804648,
LSGKB52H4KV206256,-50000,-37264,2018/12/16 0:00,2018/12/16 0:00,3116815632,
LSGGJ5453JS244461,0,-172704,2018/12/17 0:00,2018/12/17 0:00,3116820845,
LSGGJ5452JS244189,0,-172704,2018/12/17 0:00,2018/12/17 0:00,3116820844,
LSGGJ5458JS243970,0,-172704,2018/12/17 0:00,2018/12/17 0:00,3116820846,
LSGGJ5457JS243975,0,-172704,2018/12/17 0:00,2018/12/17 0:00,3116820843,
LSGHD5288JD318244,0,-61344,2018/12/17 0:00,2018/12/17 0:00,3116820853,
LSGHD5285JD318895,0,-61344,2018/12/17 0:00,2018/12/17 0:00,3116820852,
LSGHD5286JD318873,0,-61344,2018/12/17 0:00,2018/12/17 0:00,3116820850,
LSGHD5288JD318714,0,-61344,2018/12/17 0:00,2018/12/17 0:00,3116820851,
LSGHD5289JD318835,0,-61344,2018/12/17 0:00,2018/12/17 0:00,3116820849,
LSGHD5286JD318680,0,-61344,2018/12/17 0:00,2018/12/17 0:00,3116820848,
LSGHD528XJD318858,0,-61344,2018/12/17 0:00,2018/12/17 0:00,3116820847,
LSGXC8359KV192427,-113900,-68404,2018/12/17 0:00,2018/12/17 0:00,3116825065,
LSGXC8352KV192186,-113900,-68404,2018/12/17 0:00,2018/12/17 0:00,3116825064,
LSGXC8357KV193995,-113900,-68404,2018/12/17 0:00,2018/12/17 0:00,3116825061,
LSGXC8352KV193063,-113900,-68404,2018/12/17 0:00,2018/12/17 0:00,3116825063,
LSGXC8359KV194503,-113900,-68404,2018/12/17 0:00,2018/12/17 0:00,3116825062,
LSGHD5283JD318877,-38340,-23004,2018/12/17 0:00,2018/12/17 0:00,3116824787,
LSGHD5286JD318887,-38340,-23004,2018/12/17 0:00,2018/12/17 0:00,3116824788,
LSGHD5284JD318693,-38340,-23004,2018/12/17 0:00,2018/12/17 0:00,3116824786,
LSGHD5287JD319885,-41340,-24804,2018/12/17 0:00,2018/12/17 0:00,3116824799,
LSGHD5280JD319811,-41340,-24804,2018/12/17 0:00,2018/12/17 0:00,3116824798,
LSGHD5283JD319866,-41340,-24804,2018/12/17 0:00,2018/12/17 0:00,3116824800,
LSGHD528XJD319542,-41340,-24804,2018/12/17 0:00,2018/12/17 0:00,3116824790,
LSGHD5289JD319872,-41340,-24804,2018/12/17 0:00,2018/12/17 0:00,3116824789,
LSGHD5287JD319479,-41340,-24804,2018/12/17 0:00,2018/12/17 0:00,3116824793,
LSGHD5283JD319883,-41340,-24804,2018/12/17 0:00,2018/12/17 0:00,3116824792,
LSGHD5286JD319490,-41340,-24804,2018/12/17 0:00,2018/12/17 0:00,3116824795,
LSGHD5288JD319491,-41340,-24804,2018/12/17 0:00,2018/12/17 0:00,3116824796,
LSGHD5286JD319229,-41340,-24804,2018/12/17 0:00,2018/12/17 0:00,3116824797,
LSGHD5288JD319541,-41340,-24804,2018/12/17 0:00,2018/12/17 0:00,3116824794,
LSGHD5288JD319488,-41340,-24804,2018/12/17 0:00,2018/12/17 0:00,3116824791,
LSGKB52HXKV209890,-54540,-32724,2018/12/19 0:00,2018/12/19 0:00,3116834922,
LSGKB52H2KV209558,-54540,-32724,2018/12/19 0:00,2018/12/19 0:00,3116834928,
LSGKB52H0KV209851,-54540,-32724,2018/12/19 0:00,2018/12/19 0:00,3116834927,
LSGKB52H6KV209868,-54540,-32724,2018/12/19 0:00,2018/12/19 0:00,3116834923,
LSGKB52H7KV209877,-54540,-32724,2018/12/19 0:00,2018/12/19 0:00,3116834926,
LSGKB52H8KV209869,-54540,-32724,2018/12/19 0:00,2018/12/19 0:00,3116834925,
LSGKB52H6KV209711,-54540,-32724,2018/12/19 0:00,2018/12/19 0:00,3116834921,
LSGKB52H4KV209688,-54540,-32724,2018/12/19 0:00,2018/12/19 0:00,3116834924,
LSGKB52HXKV209825,-54540,-32724,2018/12/19 0:00,2018/12/19 0:00,3116834920,
LSGKB52H0KV209820,-54540,-32724,2018/12/19 0:00,2018/12/19 0:00,3116834929,
LSGKB52H1KV209289,-42720,-53184,2018/12/19 0:00,2018/12/19 0:00,3116834931,
LSGKB52H9KV208973,-50000,-45904,2018/12/19 0:00,2018/12/19 0:00,3116834930,
LSGKB52HXKV209081,0,-95904,2018/12/19 0:00,2018/12/19 0:00,3116834935,
LSGKB52H0KV209347,0,-95904,2018/12/19 0:00,2018/12/19 0:00,3116834934,
LSGKB52H5KV209179,0,-95904,2018/12/19 0:00,2018/12/19 0:00,3116834933,
LSGKB52H7KV209443,0,-95904,2018/12/19 0:00,2018/12/19 0:00,3116834932,
LSGKB52H6KV208106,-47940,-28764,2018/12/19 0:00,2018/12/19 0:00,3116839204,
LSGZG535XJS213250,-131940,-79164,2018/12/20 0:00,2018/12/20 0:00,3116842212,
LSGGJ5457JS246066,-107920,-64784,2018/12/24 0:00,2018/12/24 0:00,3116865359,
LSGGJ5456JS246091,-107920,-64784,2018/12/24 0:00,2018/12/24 0:00,3116865354,
LSGGJ5452JS246010,-107920,-64784,2018/12/24 0:00,2018/12/24 0:00,3116865356,
LSGGJ545XJS246093,-107920,-64784,2018/12/24 0:00,2018/12/24 0:00,3116865355,
LSGGJ5459JS245730,-107920,-64784,2018/12/24 0:00,2018/12/24 0:00,3116865358,
LSGGJ5457JS246133,-52928,-119776,2018/12/24 0:00,2018/12/24 0:00,3116865361,
LSGGJ5454JS246056,-107920,-64784,2018/12/24 0:00,2018/12/24 0:00,3116865365,
LSGGJ5450JS245938,-107940,-64764,2018/12/24 0:00,2018/12/24 0:00,3116865366,
LSGGJ5458JS248537,-107940,-64764,2018/12/24 0:00,2018/12/24 0:00,3116865352,
LSGGJ5456JS248536,-107940,-64764,2018/12/24 0:00,2018/12/24 0:00,3116865353,
LSGGJ5459JS246182,0,-172704,2018/12/24 0:00,2018/12/24 0:00,3116865362,
LSGGJ5451JS246175,0,-172704,2018/12/24 0:00,2018/12/24 0:00,3116865364,
LSGGJ5454JS246106,0,-172704,2018/12/24 0:00,2018/12/24 0:00,3116865363,
LSGGJ5457JS246147,0,-172704,2018/12/24 0:00,2018/12/24 0:00,3116865360,
LSGGJ5459JS246134,0,-172704,2018/12/24 0:00,2018/12/24 0:00,3116865357,
LSGKH8413KY028368,0,-104930,2018/12/24 0:00,2018/12/24 0:00,3116870493,
LSGKH8410KY028375,0,-104930,2018/12/24 0:00,2018/12/24 0:00,3116870494,
