客户编号,经销商编号,名称,1,VIN,Billing No.,车型,开票日期,SO No.,金额,状态
1200044,CH1677,四川灵通,1,LSGKB5410LV078096,3118456766,科鲁泽 LTZ,2020/1/20,1318182140,-62940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5410LV080656,3118456767,科鲁泽 LTZ,2020/1/20,1318182145,-62940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5417LV081089,3118456768,科鲁泽 LTZ,2020/1/20,1318182148,-62940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5415LV077249,3118456769,科鲁泽 LTZ,2020/1/20,1318182160,-62940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5418LV077830,3118456770,科鲁泽 LTZ,2020/1/20,1318182171,-62940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5412LV085728,3118456771,科鲁泽 LTZ,2020/1/20,1318182175,-62940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8412KY069283,3118456764,沃兰多 LT,2020/1/20,1318181331,-82940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8410KY066172,3118456763,沃兰多 LS,2020/1/20,1318181309,-76940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8411KY069453,3118456765,沃兰多 LT,2020/1/20,1318181385,-82940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8413KY066568,3118456762,沃兰多 LS,2020/1/20,1318181312,-76940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8410KY069637,3118507537,沃兰多 LT,2020/1/31,1318230726,-7000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8415KY070296,3118507536,沃兰多 LT,2020/1/31,1318230712,-7000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC83L9KV433773,3118504294,探界者 LTZ,2020/1/31,1318228671,-15000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH841XKY067412,3118504284,沃兰多 LS,2020/1/31,1318228707,-7000,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A7LD143309,3118504283,新科沃兹 LT,2020/1/31,1318228727,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A8LD142329,3118504282,新科沃兹 LT,2020/1/31,1318228724,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8355KV439281,3118504291,探界者 LT,2020/1/31,1318228695,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8353KV439246,3118504293,探界者 LT,2020/1/31,1318228706,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8356KV439337,3118504292,探界者 LT,2020/1/31,1318228696,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8418KY070597,3118504285,沃兰多 LT,2020/1/31,1318228719,-7000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8418KY070096,3118504286,沃兰多 LT,2020/1/31,1318228721,-7000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB54A6LV092763,3118504289,科鲁泽 LT,2020/1/31,1318228833,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB54A9LV094653,3118504290,科鲁泽 LT,2020/1/31,1318228818,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB54A2LV092842,3118504288,科鲁泽 LT,2020/1/31,1318228815,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB54A7LV091699,3118504287,科鲁泽 LT,2020/1/31,1318228813,-9000,Call车扣款
1200044,CH1677,四川灵通,1,,,,,,-9000,失效
1200044,CH1677,四川灵通,1,,,,,,-9000,失效
1200044,CH1677,四川灵通,1,LSGKB54A9LV089808,3118493615,科鲁泽 LT,2020/1/31,1318216716,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB54A9LV090036,3118493616,科鲁泽 LT,2020/1/31,1318216717,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8414KY070404,3118493614,沃兰多 LT,2020/1/31,1318216715,-7000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8412KY070451,3118493613,沃兰多 LT,2020/1/31,1318216531,-7000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8356KV437538,3118493619,探界者 LT,2020/1/31,1318216734,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8358KV437525,3118493618,探界者 LT,2020/1/31,1318216725,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A1LD145539,3118493612,新科沃兹 LT,2020/1/31,1318216674,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A9LD129878,3118493611,新科沃兹 LT,2020/1/31,1318216728,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGTN8490LY018854,3118493617,创界 LS,2020/1/31,1318216707,-4000,Call车扣款
1200044,CH1677,四川灵通,1,LSGZG53LXKS113150,3118493621,全新迈锐宝XL LTZ,2020/1/31,1318216706,-11000,Call车扣款
1200044,CH1677,四川灵通,1,LSGZG5398KS122255,3118493620,全新迈锐宝XL LT,2020/1/31,1318216536,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5413LV086323,3118483699,科鲁泽 LT,2020/1/30,1318207683,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5411LV086305,3118483698,科鲁泽 LT,2020/1/30,1318207685,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB541XLV086318,3118483697,科鲁泽 LT,2020/1/30,1318207690,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5414LV086301,3118483700,科鲁泽 LT,2020/1/30,1318207682,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB541XLV086285,3118483703,科鲁泽 LT,2020/1/30,1318207635,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5418LV086267,3118483704,科鲁泽 LT,2020/1/30,1318207633,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5414LV086282,3118483702,科鲁泽 LT,2020/1/30,1318207678,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5418LV086298,3118483701,科鲁泽 LT,2020/1/30,1318207679,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5411LV086286,3118483705,科鲁泽 LT,2020/1/30,1318207406,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A2LD135022,3118483691,新科沃兹 LT,2020/1/30,1318207611,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A0LD145922,3118483695,新科沃兹 LT,2020/1/30,1318207638,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A3LD135210,3118483693,新科沃兹 LT,2020/1/30,1318207617,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A1LD134301,3118483692,新科沃兹 LT,2020/1/30,1318207613,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A4LD139542,3118483688,新科沃兹 LT,2020/1/30,1318207615,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A6LD137940,3118483690,新科沃兹 LT,2020/1/30,1318207624,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A5LD145656,3118483694,新科沃兹 LT,2020/1/30,1318207634,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A2LD145811,3118483696,新科沃兹 LT,2020/1/30,1318207650,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A7LD139308,3118483689,新科沃兹 LT,2020/1/30,1318207616,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8358KV437654,3118482910,探界者 LT,2020/1/29,1318206840,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8351KV437379,3118482911,探界者 LT,2020/1/29,1318206844,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8357KV437340,3118482909,探界者 LT,2020/1/29,1318206839,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8355KV438941,3118482913,探界者 LT,2020/1/29,1318206830,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8351KV438905,3118482912,探界者 LT,2020/1/29,1318206833,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC83L5KV436265,3118482907,探界者 LT,2020/1/29,1318206841,-15000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC83L9KV440223,3118482908,探界者 LT,2020/1/29,1318206831,-15000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5416LV087689,3118482900,科鲁泽 LT,2020/1/29,1318206836,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5418LV087726,3118482895,科鲁泽 LT,2020/1/29,1318206845,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5415LV087800,3118482899,科鲁泽 LT,2020/1/29,1318206835,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5416LV087790,3118482897,科鲁泽 LT,2020/1/29,1318206838,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5412LV087348,3118482901,科鲁泽 LT,2020/1/29,1318206837,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5419LV087735,3118482896,科鲁泽 LT,2020/1/29,1318206832,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5415LV087795,3118482898,科鲁泽 LT,2020/1/29,1318206834,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5411LV087812,3118482894,科鲁泽 LT,2020/1/29,1318205013,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8352KV439951,3118482905,探界者 LS,2020/1/29,1318206847,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8355KV439958,3118482904,探界者 LS,2020/1/29,1318206846,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8350KV439835,3118482906,探界者 LS,2020/1/29,1318205014,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8350KV439995,3118482902,探界者 LS,2020/1/29,1318206843,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8350KV439950,3118482903,探界者 LS,2020/1/29,1318206842,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGZG53L4KS108364,3118475306,全新迈锐宝XL LTZ,2020/1/23,1318174143,-11000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC83L0KV439882,3118475305,探界者 LT,2020/1/23,1318199186,-15000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5411LV092640,3118475300,科鲁泽 LT,2020/1/23,1318199298,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5419LV092286,3118475299,科鲁泽 LT,2020/1/23,1318199294,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5414LV086069,3118475293,科鲁泽 LT,2020/1/23,1318199239,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5416LV086431,3118475294,科鲁泽 LT,2020/1/23,1318199237,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5412LV086099,3118475296,科鲁泽 LT,2020/1/23,1318199228,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5416LV086137,3118475295,科鲁泽 LT,2020/1/23,1318199235,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5412LV092467,3118475301,科鲁泽 LT,2020/1/23,1318199301,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5410LV092645,3118475302,科鲁泽 LT,2020/1/23,1318199305,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB541XLV084763,3118475297,科鲁泽 LT,2020/1/23,1318199225,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5418LV086317,3118475298,科鲁泽 LT,2020/1/23,1318199221,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8357KV440643,3118475303,探界者 LS,2020/1/23,1318199144,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A1LD131415,3118475291,新科沃兹 LTZ,2020/1/23,1318199009,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A3LD131450,3118475290,新科沃兹 LTZ,2020/1/23,1318199003,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A9LD131288,3118475292,新科沃兹 LTZ,2020/1/23,1318199016,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC83LXKV435872,3118475304,探界者 LT,2020/1/23,1318199183,-15000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC835XKV436683,3118473315,探界者 LT,2020/1/22,1318198194,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8354KV439076,3118473313,探界者 LS,2020/1/22,1318198139,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8350KV439026,3118473314,探界者 LS,2020/1/22,1318198140,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8419KY070012,3118473312,沃兰多 LT,2020/1/22,1318197923,-7000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8416KY066791,3118473311,沃兰多 LS,2020/1/22,1318197905,-7000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8354KV434251,3118456774,探界者 LT,2020/1/20,1318181545,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8352KV434412,3118456775,探界者 LT,2020/1/20,1318181555,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC835XKV436960,3118456772,探界者 LS,2020/1/20,1318181502,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8354KV436954,3118456773,探界者 LS,2020/1/20,1318181476,-10000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5410LV078096,3118456766,科鲁泽 LTZ,2020/1/20,1318182140,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5418LV077830,3118456770,科鲁泽 LTZ,2020/1/20,1318182171,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5415LV077249,3118456769,科鲁泽 LTZ,2020/1/20,1318182160,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5417LV081089,3118456768,科鲁泽 LTZ,2020/1/20,1318182148,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5412LV085728,3118456771,科鲁泽 LTZ,2020/1/20,1318182175,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8410KY066172,3118456763,沃兰多 LS,2020/1/20,1318181309,-7000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8413KY066568,3118456762,沃兰多 LS,2020/1/20,1318181312,-7000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5410LV080656,3118456767,科鲁泽 LTZ,2020/1/20,1318182145,-9000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8411KY069453,3118456765,沃兰多 LT,2020/1/20,1318181385,-7000,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8412KY069283,3118456764,沃兰多 LT,2020/1/20,1318181331,-7000,Call车扣款
