客户编号,经销商编号,名称,1,VIN,Billing No.,车型,开票日期,SO No.,金额,状态
1200044,CH1677,四川灵通,1,LSGEN54A4LD139542,3118483688,新科沃兹 LT,2020/1/30,1318207615,-30000,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A6LD137940,3118483690,新科沃兹 LT,2020/1/30,1318207624,-30000,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A5LD145656,3118483694,新科沃兹 LT,2020/1/30,1318207634,-30000,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A0LD145922,3118483695,新科沃兹 LT,2020/1/30,1318207638,-30000,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A2LD145811,3118483696,新科沃兹 LT,2020/1/30,1318207650,-30000,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A3LD135210,3118483693,新科沃兹 LT,2020/1/30,1318207617,-21831,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A7LD139308,3118483689,新科沃兹 LT,2020/1/30,1318207616,-30000,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A1LD134301,3118483692,新科沃兹 LT,2020/1/30,1318207613,-30000,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC83L5KV436265,3118482907,探界者 LT,2020/1/29,1318206841,-120540,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8351KV438905,3118482912,探界者 LT,2020/1/29,1318206833,-109940,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8355KV438941,3118482913,探界者 LT,2020/1/29,1318206830,-109940,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8357KV437340,3118482909,探界者 LT,2020/1/29,1318206839,-109940,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8358KV437654,3118482910,探界者 LT,2020/1/29,1318206840,-109940,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8351KV437379,3118482911,探界者 LT,2020/1/29,1318206844,-109940,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC83L9KV440223,3118482908,探界者 LT,2020/1/29,1318206831,-120540,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5418LV087726,3118482895,科鲁泽 LT,2020/1/29,1318206845,-59940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5416LV087689,3118482900,科鲁泽 LT,2020/1/29,1318206836,-59940,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8350KV439995,3118482902,探界者 LS,2020/1/29,1318206843,-103940,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8350KV439835,3118482906,探界者 LS,2020/1/29,1318205014,-103940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5415LV087800,3118482899,科鲁泽 LT,2020/1/29,1318206835,-59940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5416LV087790,3118482897,科鲁泽 LT,2020/1/29,1318206838,-59940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5412LV087348,3118482901,科鲁泽 LT,2020/1/29,1318206837,-59940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5419LV087735,3118482896,科鲁泽 LT,2020/1/29,1318206832,-59940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5415LV087795,3118482898,科鲁泽 LT,2020/1/29,1318206834,-59940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5411LV087812,3118482894,科鲁泽 LT,2020/1/29,1318205013,-59940,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8352KV439951,3118482905,探界者 LS,2020/1/29,1318206847,-103940,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8355KV439958,3118482904,探界者 LS,2020/1/29,1318206846,-103940,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8350KV439950,3118482903,探界者 LS,2020/1/29,1318206842,-103940,Call车扣款
1200044,CH1677,四川灵通,1,LSGZG53L4KS108364,3118475306,全新迈锐宝XL LTZ,2020/1/23,1318174143,-120940,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC83L0KV439882,3118475305,探界者 LT,2020/1/23,1318199186,-120540,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5410LV092645,3118475302,科鲁泽 LT,2020/1/23,1318199305,-59940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5412LV092467,3118475301,科鲁泽 LT,2020/1/23,1318199301,-59940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5418LV086317,3118475298,科鲁泽 LT,2020/1/23,1318199221,-59940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB541XLV084763,3118475297,科鲁泽 LT,2020/1/23,1318199225,-59940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5416LV086137,3118475295,科鲁泽 LT,2020/1/23,1318199235,-59940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5412LV086099,3118475296,科鲁泽 LT,2020/1/23,1318199228,-59940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5416LV086431,3118475294,科鲁泽 LT,2020/1/23,1318199237,-59940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5414LV086069,3118475293,科鲁泽 LT,2020/1/23,1318199239,-59940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5419LV092286,3118475299,科鲁泽 LT,2020/1/23,1318199294,-59940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKB5411LV092640,3118475300,科鲁泽 LT,2020/1/23,1318199298,-59940,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8357KV440643,3118475303,探界者 LS,2020/1/23,1318199144,-103940,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A1LD131415,3118475291,新科沃兹 LTZ,2020/1/23,1318199009,-50940,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A3LD131450,3118475290,新科沃兹 LTZ,2020/1/23,1318199003,-50940,Call车扣款
1200044,CH1677,四川灵通,1,LSGEN54A9LD131288,3118475292,新科沃兹 LTZ,2020/1/23,1318199016,-50940,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC83LXKV435872,3118475304,探界者 LT,2020/1/23,1318199183,-120540,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8354KV439076,3118473313,探界者 LS,2020/1/22,1318198139,-103940,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8350KV439026,3118473314,探界者 LS,2020/1/22,1318198140,-103940,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC835XKV436683,3118473315,探界者 LT,2020/1/22,1318198194,-109940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8416KY066791,3118473311,沃兰多 LS,2020/1/22,1318197905,-76940,Call车扣款
1200044,CH1677,四川灵通,1,LSGKH8419KY070012,3118473312,沃兰多 LT,2020/1/22,1318197923,-82940,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8352KV434412,3118456775,探界者 LT,2020/1/20,1318181555,-109940,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8354KV434251,3118456774,探界者 LT,2020/1/20,1318181545,-109940,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC8354KV436954,3118456773,探界者 LS,2020/1/20,1318181476,-103940,Call车扣款
1200044,CH1677,四川灵通,1,LSGXC835XKV436960,3118456772,探界者 LS,2020/1/20,1318181502,-103940,Call车扣款
