车架号,厂家代码,公司代码,调拨日期,位置,详细位置,发动机号,颜色,车型,配置,价格,出厂日期,入库日期,来源,点款,加装,GMAC,其他记录,绑定订单,
LSGTN8398LY012527,SGM7137GBA1,7137CR20,2020/1/1 11:17,库房,3号库,192294457,风尚红,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/16 0:00,2019/11/25 11:44,厂家到车,TRUE,,,,,
LSGTN8395LY012811,SGM7137GBA1,7137CR20,2019/11/20 9:34,库房,3号库,192314385,风尚红,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/17 0:00,2019/11/20 9:34,厂家到车,TRUE,,,,,
LSGTN8393LY012628,SGM7137GBA1,7137CR20,2020/1/9 10:49,店内,展厅,192314450,风尚红,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/17 0:00,2019/11/20 9:36,厂家到车,TRUE,,,,,
LSGTN8391LY012725,SGM7137GBA1,7137CR20,2019/11/27 14:06,库房,3号库,192174044,风尚红,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/17 0:00,2019/11/27 14:06,厂家到车,TRUE,,,,,
LSGTN8398LY012592,SGM7137GBA1,7137CR20,2019/11/20 9:33,库房,3号库,192244263,风尚红,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/17 0:00,2019/11/20 9:33,厂家到车,TRUE,,,,,
LSGTN8399LY013010,SGM7137GBA1,7137CR20,2019/12/22 9:15,店内,展厅,192294469,闪电白,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/19 0:00,2019/11/20 9:34,厂家到车,TRUE,,,,,
LSGTN8393LY013472,SGM7137GBA1,7137CR20,2019/11/18 15:10,库房,3号库,192334160,闪电白,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/20 0:00,2019/11/18 15:10,厂家到车,TRUE,,,,,
LSGTN8395LY011903,SGM7137GBA1,7137CR20,2020/1/9 11:03,网点,彭州辰威,192174228,陨铁灰,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/11 0:00,2019/10/13 11:22,厂家到车,TRUE,,,,,
LSGTN8392LY012331,SGM7137GBA1,7137CR20,2019/11/20 9:33,库房,3号库,192324055,陨铁灰,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/19 0:00,2019/11/20 9:33,厂家到车,TRUE,,,,,
LSGTN8390LY012988,SGM7137GBA1,7137CR20,2019/11/25 11:46,库房,3号库,192314168,陨铁灰,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/19 0:00,2019/11/25 11:46,厂家到车,TRUE,,,,,
LSGTN8396LY013059,SGM7137GBA1,7137CR20,2019/11/25 11:45,库房,3号库,192314078,珍珠黑,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/19 0:00,2019/11/25 11:45,厂家到车,TRUE,,,,,
LSGTN8399LY013265,SGM7137GBA1,7137CR20,2019/11/25 11:46,库房,3号库,192314081,珍珠黑,创界,创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20,159900,2019/9/19 0:00,2019/11/25 11:46,厂家到车,TRUE,,,,,
LSGTN8495LY012483,SGM7137GBA1,7137FR20,2020/1/16 14:09,店内,门口,192244258,风尚红,创界,创界 435T Redline CVT锋锐版(Info3.5) 20,149900,2019/9/16 0:00,2019/11/20 9:35,厂家到车,TRUE,,,,,
LSGTN8494LY012216,SGM7137GBA1,7137FR20,2019/11/5 11:15,网点,郫县鸿合,192172002,闪电白,创界,创界 435T Redline CVT锋锐版(Info3.5) 20,149900,2019/9/12 0:00,2019/10/21 12:36,厂家到车,TRUE,,,,,
LSGTN849XLY011829,SGM7137GBA1,7137FR20,2020/1/21 10:10,店内,门口,192154288,陨铁灰,创界,创界 435T Redline CVT锋锐版(Info3.5) 20,149900,2019/9/10 0:00,2019/10/13 9:38,厂家到车,TRUE,,,,,
LSGTN8498LY012672,SGM7137GBA1,7137FR20,2019/11/20 9:38,库房,3号库,192314401,陨铁灰,创界,创界 435T Redline CVT锋锐版(Info3.5) 20,149900,2019/9/17 0:00,2019/11/20 9:38,厂家到车,TRUE,,,,,
LSGTN8498LY012476,SGM7137GBA1,7137FR20,2019/11/20 9:35,库房,3号库,192254025,陨铁灰,创界,创界 435T Redline CVT锋锐版(Info3.5) 20,149900,2019/9/17 0:00,2019/11/20 9:35,厂家到车,TRUE,,,,,
LSGTN8494LY013074,SGM7137GBA1,7137FR20,2020/1/9 10:43,店内,门口,192314309,珍珠黑,创界,创界 435T Redline CVT锋锐版(Info3.5) 20,149900,2019/9/19 0:00,2019/11/20 9:37,厂家到车,TRUE,,,,,
LSGTN8392LY015469,SGM7137GBX1,7137HRB20,2020/1/14 17:12,库房,3号库,192364249,风尚红,创界,创界 435T RS 9AT悍锐版(黑顶) 20,179900,2019/10/9 0:00,2020/1/14 17:12,厂家到车,FALSE,,,,,
LSGKB54A5LV014880,SGM7102LBA1,7102SK20,2019/12/31 9:09,库房,3号库,192280059,风尚红,科鲁泽,科鲁泽 Redline 320T双离合 爽快版 20,109900,2019/9/26 0:00,2019/12/31 9:09,厂家到车,FALSE,,,,,
LSGKB54A5LV015298,SGM7102LBA1,7102SK20,2020/1/21 15:21,店内,门口,192280048,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 爽快版 20,109900,2019/8/26 0:00,2019/12/25 17:04,厂家到车,FALSE,,,,,
LSGKB54A9LV015868,SGM7102LBA1,7102SK20,2019/12/25 17:08,库房,3号库,192350029,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 爽快版 20,109900,2019/8/27 0:00,2019/12/25 17:08,厂家到车,FALSE,,,,,
LSGKB54A0LV015743,SGM7102LBA1,7102SK20,2019/12/28 17:17,库房,3号库,192350278,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 爽快版 20,109900,2019/8/27 0:00,2019/12/28 17:17,厂家到车,FALSE,,,,,
LSGKB54A1LV014701,SGM7102LBA1,7102SK20,2020/1/1 9:38,库房,3号库,192280137,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 爽快版 20,109900,2019/8/27 0:00,2020/1/1 9:38,厂家到车,FALSE,,,,,
LSGKB54A1LV016769,SGM7102LBA1,7102SK20,2019/12/31 9:10,库房,3号库,192370155,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 爽快版 20,109900,2019/8/28 0:00,2019/12/31 9:10,厂家到车,FALSE,,,,,
LSGKB54A5LV016709,SGM7102LBA1,7102SK20,2019/12/28 17:24,库房,3号库,192370200,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 爽快版 20,109900,2019/8/28 0:00,2019/12/28 17:24,厂家到车,FALSE,,,,,
LSGKB54A5LV017567,SGM7102LBA1,7102SK20,2019/12/28 17:26,库房,3号库,192390070,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 爽快版 20,109900,2019/8/28 0:00,2019/12/28 17:26,厂家到车,FALSE,,,,,
LSGKB54A9LV016874,SGM7102LBA1,7102SK20,2019/12/25 17:06,库房,3号库,192340046,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 爽快版 20,109900,2019/8/28 0:00,2019/12/25 17:06,厂家到车,FALSE,,,,,
LSGKB54A2LV016909,SGM7102LBA1,7102SK20,2019/12/27 17:11,库房,3号库,192330503,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 爽快版 20,109900,2019/8/28 0:00,2019/12/27 17:11,厂家到车,FALSE,,,,,
LSGKB54A7LV017909,SGM7102LBA1,7102SK20,2019/12/27 17:15,库房,3号库,192390533,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 爽快版 20,109900,2019/8/29 0:00,2019/12/27 17:15,厂家到车,FALSE,,,,,
LSGKB54A5LV017679,SGM7102LBA1,7102SK20,2019/12/28 17:25,库房,3号库,192390541,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 爽快版 20,109900,2019/8/29 0:00,2019/12/28 17:25,厂家到车,FALSE,,,,,
LSGKB54A8LV017501,SGM7102LBA1,7102SK20,2019/12/28 17:15,库房,3号库,192370036,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 爽快版 20,109900,2019/8/29 0:00,2019/12/28 17:15,厂家到车,FALSE,,,,,
LSGKB54A4LV018161,SGM7102LBA1,7102SK20,2020/1/15 9:58,网点,华阳远大籍田,192360412,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 爽快版 20,109900,2019/8/30 0:00,2019/12/27 17:14,厂家到车,TRUE,,,,,
LSGKB54A7LV018221,SGM7102LBA1,7102SK20,2019/12/31 9:04,库房,3号库,192400325,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 爽快版 20,109900,2019/8/30 0:00,2019/12/31 9:04,厂家到车,FALSE,,,,,
LSGKB54A1LV015170,SGM7102LBA1,7102SK20,2019/12/25 17:05,库房,3号库,192280021,陨铁灰,科鲁泽,科鲁泽 Redline 320T双离合 爽快版 20,109900,2019/8/26 0:00,2019/12/25 17:05,厂家到车,FALSE,,,,,
LSGKB54A7LV015559,SGM7102LBA1,7102SK20,2019/12/28 17:16,库房,3号库,192350336,陨铁灰,科鲁泽,科鲁泽 Redline 320T双离合 爽快版 20,109900,2019/8/26 0:00,2019/12/28 17:16,厂家到车,FALSE,,,,,
LSGKB54A5LV015110,SGM7102LBA1,7102SK20,2019/12/28 17:28,库房,3号库,192280045,陨铁灰,科鲁泽,科鲁泽 Redline 320T双离合 爽快版 20,109900,2019/8/26 0:00,2019/12/28 17:28,厂家到车,FALSE,,,,,
LSGKB54A2KV379337,SGM7102LBA1,7102SK19,2019/12/28 17:14,库房,3号库,191760593,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 爽快版(GB6) 19,109900,2019/6/26 0:00,2019/12/28 17:14,厂家到车,FALSE,,,,,
LSGKB5419LV064679,SGM7132LBA1,7132CK20,2020/1/3 16:37,店内,展厅,193204794,风尚红,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/12/2 0:00,2019/12/23 14:26,厂家到车,FALSE,,,,,
LSGKB5419LV037143,SGM7132LBA1,7132CK20,2019/12/31 9:04,库房,3号库,192605090,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/27 0:00,2019/12/31 9:04,厂家到车,FALSE,,,,,
LSGKB5412LV036903,SGM7132LBA1,7132CK20,2019/12/31 8:57,库房,3号库,192604734,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/27 0:00,2019/12/31 8:57,厂家到车,FALSE,,,,,
LSGKB5419LV036560,SGM7132LBA1,7132CK20,2019/12/31 9:03,库房,3号库,192595100,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/27 0:00,2019/12/31 9:03,厂家到车,FALSE,,,,,
LSGKB5412LV036853,SGM7132LBA1,7132CK20,2019/12/31 9:11,库房,3号库,192604041,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/27 0:00,2019/12/31 9:11,厂家到车,FALSE,,,,,
LSGKB5418LV036663,SGM7132LBA1,7132CK20,2019/12/31 9:11,库房,3号库,192604581,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/27 0:00,2019/12/31 9:11,厂家到车,FALSE,,,,,
LSGKB5414LV036451,SGM7132LBA1,7132CK20,2019/12/31 9:12,库房,3号库,192604600,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/27 0:00,2019/12/31 9:12,厂家到车,FALSE,,,,,
LSGKB5418LV036419,SGM7132LBA1,7132CK20,2019/12/31 9:15,库房,3号库,192584343,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/27 0:00,2019/12/31 9:15,厂家到车,FALSE,,,,,
LSGKB5412LV037436,SGM7132LBA1,7132CK20,2019/12/31 9:09,库房,3号库,192604905,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/27 0:00,2019/12/31 9:09,厂家到车,FALSE,,,,,
LSGKB5411LV036665,SGM7132LBA1,7132CK20,2019/12/31 9:08,库房,3号库,192594935,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/27 0:00,2019/12/31 9:08,厂家到车,FALSE,,,,,
LSGKB5410LV037077,SGM7132LBA1,7132CK20,2020/1/1 9:33,库房,3号库,192614571,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/27 0:00,2020/1/1 9:33,厂家到车,FALSE,,,,,
LSGKB5414LV035400,SGM7132LBA1,7132CK20,2020/1/1 9:37,库房,3号库,192604022,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/27 0:00,2020/1/1 9:37,厂家到车,FALSE,,,,,
LSGKB5415LV036782,SGM7132LBA1,7132CK20,2020/1/1 9:37,库房,3号库,192594810,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/27 0:00,2020/1/1 9:37,厂家到车,FALSE,,,,,
LSGKB541XLV036227,SGM7132LBA1,7132CK20,2019/12/31 9:17,库房,3号库,192604602,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/27 0:00,2019/12/31 9:17,厂家到车,FALSE,,,,,
LSGKB5415LV037480,SGM7132LBA1,7132CK20,2019/12/31 9:16,库房,3号库,192605217,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/28 0:00,2019/12/31 9:16,厂家到车,FALSE,,,,,
LSGKB541XLV037491,SGM7132LBA1,7132CK20,2019/12/31 9:05,库房,3号库,192605194,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/28 0:00,2019/12/31 9:05,厂家到车,FALSE,,,,,
LSGKB5412LV037517,SGM7132LBA1,7132CK20,2020/1/1 9:33,库房,3号库,192604886,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/28 0:00,2020/1/1 9:33,厂家到车,FALSE,,,,,
LSGKB5410LV037693,SGM7132LBA1,7132CK20,2019/12/26 16:14,库房,3号库,192604877,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/9/28 0:00,2019/12/26 16:14,厂家到车,FALSE,,,,,
